"Institution","Course Number","Short Title1","Curricular Area2","Course Launch Date","Year (1-4)","Offers Honor Certificates","Participants","Explorers","Certified","% Explored","% Certified","% Certified of Explored","Total Hours (Thousands)","Median Hours of Certified","Median % Residential Hours","% Female","% Bachelor's+","Median Age3","% Played Video","% Posted in Forum","% Grade > 0"
"MITx","6.004.1x","DigCircuits-a1","CS","3/3/2015","3","1","15,530","2,363","805","15.22","5.18","33.81","126.65","72.18","128.90","10.50","59.24","26","64.37","5.71","14.92"
"MITx","6.004.1x","DigCircuits-a2","CS","9/1/2015","4","1","16,094","1,910","377","11.87","2.34","19.74","97.06","72.89","43.39","12.63","55.59","24","62.85","0.00","7.08"
"MITx","6.004.2x","DigCircuits-b1","CS","11/17/2015","4","1","8,495","1,161","406","13.67","4.78","34.97","56.13","80.09","143.03","11.42","61.03","25","49.38","4.13","7.68"
"MITx","6.041x","StatProb-1","STEM","2/4/2014","2","1","26,364","2,927","592","11.10","2.25","20.23","224.14","120.16","71.52","16.46","73.15","28","65.57","3.98","17.78"
"MITx","6.041x","StatProb-2","STEM","2/3/2015","3","1","22,537","2,288","410","10.15","1.82","17.92","217.10","167.72","99.83","16.63","73.49","27","65.99","2.60","14.47"
"MITx","6.302.0x","Control-a","STEM","1/4/2016","4","1","8,377","3,783","127","45.16","1.52","3.36","21.30","42.73","50.87","7.46","64.22","25","12.25","2.60","7.09"
"MITx","6.341x","SignalProc","STEM","2/3/2015","3","1","7,396","532","144","7.19","1.95","27.07","48.98","151.31","90.06","8.60","72.54","27","64.06","2.99","16.87"
"MITx","6.832x","Robotics-1","STEM","10/1/2014","3","1","11,074","1,599","136","14.44","1.23","8.51","41.65","61.21","36.44","8.03","61.38","25","67.84","3.75","8.39"
"MITx","6.832x","Robotics-2","STEM","10/1/2015","4","1","10,191","1,066","148","10.46","1.45","13.79","45.06","74.06","44.08","8.96","61.19","24","59.74","0.00","7.12"
"MITx","6.SFMx","SFMath","STEM","4/8/2014","2","1","27,882","3,464","567","12.42","2.03","16.37","56.90","28.32","33.71","15.83","66.85","29","66.49","5.74","20.52"
"MITx","6.002x","Circuits-3","STEM","10/16/2013","2","1","21,387","1,269","379","5.93","1.77","29.47","117.84","81.11","48.28","10.71","57.18","25","63.30","3.18","10.04"
"MITx","18.01.1x","Calculus-a","STEM","6/2/2015","3","1","18,266","3,734","658","20.44","3.60","17.62","218.27","117.82","210.39","20.34","55.67","26","63.22","5.68","20.32"
"MITx","18.01.2x","Calculus-b","STEM","12/1/2015","4","1","7,260","1,216","336","16.75","4.63","27.63","114.85","170.68","304.78","18.54","51.52","25","59.39","5.99","17.41"
"MITx","18.01.3x","Calculus-c","STEM","3/29/2016","4","1","3,749","1,206","233","32.17","6.21","19.32","44.72","90.87","162.26","16.60","58.93","25","55.75","0.16","22.99"
"MITx","2.01x","Structures-1","STEM","4/15/2013","1","1","8,736","1,705","817","19.52","9.35","47.86","84.75","52.13","31.03","13.78","64.45","27","81.82","11.42","29.98"
"MITx","2.01x","Structures-2","STEM","6/3/2014","2","1","6,140","1,061","333","17.28","5.42","31.29","62.01","78.56","46.76","14.23","64.26","26","70.07","9.54","18.66"
"MITx","2.03x","Dynamics","STEM","10/28/2013","2","1","18,424","2,079","398","11.28","2.16","19.10","60.99","43.14","25.68","11.40","58.89","25","61.30","3.16","19.71"
"MITx","15.071x","SloanAnlytcs-1","GHSS","3/4/2014","2","1","31,391","4,782","1,790","15.23","5.70","37.43","313.27","81.94","48.78","19.00","87.62","31","73.93","6.68","21.51"
"MITx","15.071x","SloanAnlytcs-2","GHSS","3/3/2015","3","1","26,776","5,638","3,101","21.06","11.58","55.00","648.95","119.51","71.14","19.29","86.68","31","74.91","10.66","50.42"
"MITx","15.071x","SloanAnlytcs-3","GHSS","6/2/2015","3","1","31,551","5,015","1,950","15.89","6.18","38.88","547.35","120.10","71.49","18.75","84.94","28","69.88","5.98","30.91"
"MITx","15.390.1x","SloanEntr-a2","GHSS","1/9/2015","3","1","30,780","7,955","2,689","25.84","8.74","32.13","110.41","12.23","19.41","21.78","72.88","29","75.53","15.29","13.53"
"MITx","15.390.1x","SloanEntr-a3","GHSS","3/31/2015","3","1","25,206","4,402","715","17.46","2.84","12.70","64.07","9.09","14.43","25.91","69.67","28","67.34","7.55","2.84"
"MITx","15.390.2x","SloanEntr-b2","GHSS","1/9/2015","3","1","13,173","3,443","574","26.14","4.36","15.16","33.06","11.65","18.50","22.35","76.93","30","61.35","4.33","5.79"
"MITx","15.390.2x","SloanEntr-b3","GHSS","5/1/2015","3","1","6,137","1,296","184","21.12","3.00","9.88","11.95","8.72","13.85","25.78","71.62","28","55.99","1.40","2.97"
"MITx","15.390x","SloanEntr-1","GHSS","3/18/2014","2","1","36,330","9,197","2,043","25.32","5.62","20.34","108.97","10.46","8.30","24.91","74.90","30","73.84","15.46","10.48"
"MITx","15.662x","AmDream-1","GHSS","3/23/2015","3","1","5,084","1,039","277","20.44","5.45","26.66","20.50","21.18","25.21","36.87","73.47","29","69.81","10.64","25.83"
"MITx","15.671x","TransBus-2","GHSS","9/10/2015","4","1","23,087","4,711","1,606","20.41","6.96","33.47","166.11","31.24","37.19","48.79","86.69","39","62.56","0.00","19.73"
"MITx","15.S23x","TransBus-1","GHSS","1/7/2015","3","1","21,420","4,958","2,416","23.15","11.28","46.73","82.24","15.54","18.50","45.74","84.87","38","57.25","0.00","20.50"
"MITx","uINOV8x","InnovEntr","GHSS","6/1/2015","3","1","41,361","4,413","1,232","10.67","2.98","26.38","69.95","9.18","","26.92","68.73","27","62.10","2.41","2.98"
"MITx","3.054.1x","CellSolid-a","STEM","1/27/2016","4","1","2,456","403","99","16.41","4.03","24.57","16.98","73.52","131.29","20.47","72.65","26","55.82","4.11","10.34"
"MITx","3.054.2x","CellSolid-b","STEM","4/8/2016","4","1","510","416","53","81.57","10.39","12.74","2.53","26.52","47.35","26.64","73.97","27","47.84","5.10","16.47"
"MITx","3.054.3x","CellSolid-c","STEM","5/11/2016","4","1","362","283","24","78.18","6.63","8.48","1.55","23.31","41.63","22.79","80.07","28","45.86","7.18","12.71"
"MITx","8.01x","Mechanics","STEM","9/9/2013","2","1","35,903","4,051","1,822","11.28","5.07","44.98","452.55","111.34","66.27","16.74","51.75","25","78.02","10.27","25.93"
"MITx","8.02x","E&M","STEM","2/18/2013","1","1","39,178","3,543","1,722","9.04","4.40","48.49","380.35","107.88","64.21","14.58","56.97","26","85.30","5.86","16.04"
"MITx","8.05x","QPhysics-1","STEM","2/10/2015","3","1","10,932","1,193","393","10.91","3.59","32.94","187.44","251.82","149.90","12.81","64.49","26","71.33","8.03","16.57"
"MITx","8.EFTx","FieldTheory","STEM","9/16/2014","3","1","7,093","285","12","4.02","0.17","4.21","16.85","107.09","63.74","11.17","72.54","27","57.48","1.97","3.00"
"MITx","8.MReV","MechRev-1","STEM","6/1/2013","1","1","15,350","1,388","1,033","9.04","6.73","71.90","145.95","68.48","40.76","15.47","54.43","26","10.96","8.48","24.07"
"MITx","8.MReV","MechRev-2","STEM","5/29/2014","2","1","12,939","754","502","5.83","3.88","66.58","86.76","80.06","47.65","15.80","53.49","25","13.25","6.01","17.97"
"MITx","8.MechCx","APMechRev-1","STEM","1/8/2015","3","1","6,980","571","201","8.18","2.88","35.20","76.36","172.70","102.80","15.44","48.64","24","57.66","6.63","17.61"
"MITx","8.MechCx","APMechRev-3","STEM","1/7/2016","4","1","5,747","303","101","5.27","1.76","33.33","53.10","200.43","119.30","15.89","49.44","23","54.76","4.07","8.77"
"MITx","8.MechCx","APMechRev-2","STEM","5/28/2015","3","1","8,088","473","168","5.85","2.08","35.52","67.60","182.95","108.90","20.64","48.24","24","59.99","5.82","13.67"
"MITx","8.421.1x","AtomicPhys-a","STEM","9/21/2015","4","1","6,129","1,478","199","24.11","3.25","13.46","18.64","24.68","73.46","13.36","68.83","26","69.15","3.90","10.20"
"MITx","8.421.2x","AtomicPhys-b","STEM","10/19/2015","4","1","1,178","484","94","41.09","7.98","19.42","9.80","50.19","149.37","13.46","71.11","27","59.76","6.20","22.16"
"MITx","8.421.3x","AtomicPhys-c","STEM","11/16/2015","4","1","790","290","63","36.71","7.97","21.72","6.44","56.85","169.19","12.80","71.74","26","55.06","6.58","17.09"
"MITx","8.421.4x","AtomicPhys-d","STEM","12/14/2015","4","1","658","221","48","33.59","7.29","21.72","3.88","42.50","126.50","14.99","71.48","26","47.57","5.93","18.54"
"MITx","8.421.5x","AtomicPhys-e","STEM","1/15/2016","4","1","639","206","26","32.24","4.07","12.62","2.60","37.45","111.46","14.40","74.21","27","46.32","3.60","14.71"
"MITx","16.00x","AAIntro","STEM","3/3/2015","3","1","13,525","3,638","885","26.90","6.54","24.33","121.16","47.06","37.35","15.50","52.15","24","70.59","10.03","24.39"
"MITx","16.101x","Aerodyn","STEM","9/28/2015","4","1","18,732","736","66","3.93","0.35","8.83","51.10","138.06","82.18","10.73","53.08","23","0.00","2.68","4.60"
"MITx","16.110x","AAFlight-1","STEM","3/5/2014","2","1","11,883","692","101","5.82","0.85","14.60","34.28","112.92","67.22","8.52","60.98","25","47.62","2.95","6.19"
"MITx","16.110x","AAFlight-2","STEM","2/9/2016","4","1","9,788","257","58","2.63","0.59","22.18","28.77","160.04","95.26","10.39","54.22","22","40.32","1.20","2.05"
"MITx","6.00.1x","CS-a4","CS","2/19/2014","2","1","21,063","3,965","1,920","18.82","9.12","48.40","188.51","48.42","57.64","16.49","63.46","27","74.21","9.28","43.66"
"MITx","6.00.1x","CS-a5","CS","6/11/2014","2","1","22,148","4,460","2,307","20.14","10.42","51.70","232.93","49.69","59.16","18.31","61.96","27","76.74","10.81","48.86"
"MITx","6.00.1x","CS-a6","CS","8/27/2014","3","1","21,017","4,143","2,127","19.71","10.12","51.34","206.46","48.26","57.45","16.77","65.39","27","76.87","9.70","50.09"
"MITx","6.00.1x","CS-a3","CS","10/16/2013","2","1","57,147","8,248","4,975","14.43","8.71","60.23","523.56","53.05","63.16","17.05","62.73","28","76.86","9.47","43.16"
"MITx","6.00.1x","CS-a8","CS","6/10/2015","3","1","53,964","9,583","5,243","17.76","9.72","54.68","895.01","86.65","103.15","21.47","64.59","25","77.31","7.60","49.00"
"MITx","6.00.2x","CS-b4","CS","10/21/2014","3","1","11,690","2,231","1,259","19.08","10.77","56.34","81.00","38.46","45.79","12.67","74.60","29","71.12","7.70","35.32"
"MITx","6.00.2x","CS-b3","CS","3/5/2014","2","1","13,148","2,512","1,502","19.11","11.42","59.63","97.28","38.44","45.76","12.10","74.21","29","69.27","7.33","32.57"
"MITx","6.00.2x","CS-b5","CS","3/4/2015","3","1","14,835","2,599","1,656","17.52","11.16","63.60","159.01","63.36","75.43","14.67","75.51","28","70.27","6.42","31.27"
"MITx","6.00x","CS-1","CS","9/26/2012","1","1","62,709","8,949","5,783","14.27","9.22","64.05","884.04","78.53","46.75","16.50","63.04","28","89.14","14.38","39.50"
"MITx","6.00x","CS-2","CS","2/4/2013","1","1","65,380","6,473","3,313","9.90","5.07","51.17","639.40","84.14","50.08","16.01","60.90","27","82.43","10.30","28.90"
"MITx","24.00x","Philosophy-2","HHRDE","9/30/2014","3","1","20,109","3,949","488","19.64","2.43","12.36","65.35","33.14","19.73","33.46","62.77","28","70.61","14.78","27.84"
"MITx","24.00x","Philosophy-1","HHRDE","10/1/2013","2","1","34,371","5,554","1,893","16.16","5.51","34.08","154.23","27.25","16.22","35.75","65.00","31","73.84","22.16","45.27"
"MITx","24.09x","MindMach","HHRDE","11/17/2015","4","1","10,837","997","383","9.20","3.53","37.81","94.63","73.07","43.49","26.66","67.25","29","61.87","7.93","8.41"
"MITx","24.118x","Paradox","HHRDE","6/9/2015","3","1","12,426","1,990","699","16.01","5.63","35.13","83.98","43.53","25.91","25.15","61.12","27","73.70","7.39","19.50"
"MITx","4.605x","Architecture-2","HHRDE","9/23/2014","3","1","7,052","1,093","543","15.50","7.70","49.68","54.46","51.76","30.81","51.44","74.88","29","61.06","7.54","30.01"
"MITx","4.605x","Architecture-3","HHRDE","9/22/2015","4","1","5,724","908","498","15.86","8.70","54.85","77.42","83.16","49.50","52.76","74.29","29","62.35","10.13","21.24"
"MITx","Launch.x","Entrepreneur-1","GHSS","1/25/2016","4","0","18,183","3,805","239","20.93","1.31","6.28","45.76","16.21","","23.79","67.37","27","70.58","15.71","38.40"
"MITx","10.03x","Biologic-3","GHSS","6/14/2016","4","0","2,604","928","207","35.64","7.95","22.31","17.50","25.22","60.05","44.34","72.52","26","70.01","20.01","43.74"
"MITx","7.28.1x1","MolecBio-a3","STEM","6/7/2016","4","0","4,825","715","92","14.82","1.91","12.87","29.82","49.80","59.29","45.44","68.23","26","67.83","5.37","33.49"
"MITx","7.QBWx","QuantBio-3","STEM","3/29/2016","4","0","3,294","552","70","16.76","2.13","12.68","45.41","94.76","112.81","37.35","74.65","27","61.51","8.74","31.36"
"MITx","21W.789x","BuildMobile-a3","CS","2/1/2016","4","0","16,407","3,058","23","18.64","0.14","0.75","27.77","22.17","65.97","19.84","68.29","28","62.13","5.18","9.72"
"MITx","21W.789.2x","BuildMobile-b3","CS","2/29/2016","4","0","4,522","1,324","27","29.28","0.60","2.04","5.80","13.11","39.01","24.70","72.03","27","54.49","1.81","10.37"
"MITx","21W.789.3x","BuildMobile-c3","CS","3/28/2016","4","0","4,276","1,000","9","23.39","0.21","0.90","4.28","14.64","43.59","17.35","63.35","25","52.78","1.29","5.00"
"MITx","21W.789.4x","BuildMobile-d3","CS","4/25/2016","4","0","664","228","5","34.34","0.75","2.19","0.62","7.38","21.95","20.72","77.39","29","43.37","1.20","9.49"
"MITx","21W.789.5x","BuildMobile-e3","CS","5/23/2016","4","0","322","187","4","58.07","1.24","2.14","0.11","6.88","20.47","23.90","72.45","29","25.78","1.55","1.86"
"MITx","3.15.1x","ElecMat-a2","STEM","5/25/2016","4","0","7,898","2,066","94","26.16","1.19","4.55","28.25","53.65","95.81","14.72","56.87","24","56.24","2.14","9.01"
"MITx","3.15.2x","ElecMat-b2","STEM","6/29/2016","4","0","2,335","792","65","33.92","2.78","8.21","11.10","41.10","73.39","17.13","63.95","24","50.71","4.03","13.83"
"MITx","3.15.3x","ElecMat-c2","STEM","8/3/2016","4","0","1,294","364","38","28.13","2.94","10.44","6.87","40.59","72.48","14.05","65.78","25","49.92","4.40","14.30"
"MITx","CTL.SC2x","Logistics-b3","GHSS","5/18/2016","4","0","12,455","2,814","1,510","22.59","12.12","53.66","355.29","142.79","254.97","22.81","85.81","30","77.06","17.05","24.23"
"MITx","11.126x","EdGameIntro-2","HHRDE","4/27/2016","4","0","9,933","923","121","9.29","1.22","13.11","27.02","27.33","32.53","23.28","58.91","26","58.40","0.00","16.30"
"MITx","11.132x","EdTech-a2","HHRDE","1/27/2016","4","0","8,405","2,152","160","25.60","1.90","7.43","28.24","31.36","37.33","40.50","83.34","32","59.88","0.00","17.13"
"MITx","11.133x","EdTech-b2","HHRDE","7/14/2016","4","0","2,402","1,232","128","51.29","5.33","10.39","8.59","23.60","28.10","41.80","86.84","34","59.62","0.00","24.31"
"MITx","11.405x","BankingSoc","GHSS","4/19/2016","4","0","4,955","1,274","254","25.71","5.13","19.94","24.76","21.67","17.20","39.39","81.85","34","61.59","0.00","20.14"
"MITx","12.340x","Climate-2","STEM","2/16/2016","4","0","3,842","745","51","19.39","1.33","6.85","25.06","101.75","60.56","34.63","67.98","26","57.63","5.36","18.69"
"MITx","JPAL101x","EvalSocProg-5","GHSS","5/2/2016","4","0","4,130","828","166","20.05","4.02","20.05","33.63","47.71","","50.51","89.32","30","60.22","7.43","29.64"
"MITx","6.00.1x","CS-a11","CS","6/7/2016","4","0","21,212","3,473","947","16.37","4.46","27.24","485.85","119.57","142.34","19.37","58.76","24","74.42","8.73","44.23"
"MITx","6.00.2x","CS-b7","CS","3/2/2016","4","0","14,003","2,182","513","15.58","3.66","23.51","144.07","73.23","87.18","14.70","72.20","26","64.74","5.99","22.88"
"MITx","6.002.1x","Circuits-a7","STEM","6/28/2016","4","0","12,218","1,518","18","12.42","0.15","1.19","56.54","74.74","133.46","14.11","51.66","24","72.14","2.50","0.15"
"MITx","6.002.2x","Circuits-b7","STEM","6/28/2016","4","0","1,645","281","2","17.08","0.12","0.71","7.09","45.38","81.04","11.31","54.70","23","53.43","1.88","0.12"
"MITx","6.041x","StatProb-3","STEM","2/2/2016","4","0","17,354","1,830","136","10.55","0.78","7.43","269.33","212.83","126.68","16.48","72.77","27","67.28","3.09","12.22"
"MITx","6.302.0x","Control-b","STEM","8/1/2016","4","0","3,937","974","49","24.74","1.24","5.03","15.62","58.50","69.64","8.83","61.32","24","12.27","4.72","8.23"
"MITx","6.302.1x","Control-c","STEM","8/1/2016","4","0","1,431","208","8","14.54","0.56","3.85","3.22","62.38","74.26","6.56","72.31","25","0.00","3.84","5.73"
"MITx","15.071x","SloanAnlytcs-4","GHSS","4/12/2016","4","0","33,044","5,346","1,417","16.18","4.29","26.51","710.96","135.79","80.82","19.63","85.90","29","71.69","8.73","35.78"
"MITx","15.662x","AmDream-2","GHSS","3/28/2016","4","0","2,583","446","51","17.27","1.97","11.43","10.78","27.19","32.37","35.83","76.56","30","65.51","12.08","19.36"
"MITx","Launch.x","Entrepreneur-2","GHSS","6/27/2016","4","0","22,959","3,969","320","17.29","1.39","8.06","37.86","13.39","","25.31","65.51","27","68.26","25.01","26.01"
"MITx","2.01x","Structures-3","STEM","6/22/2016","4","0","4,014","515","46","12.83","1.15","8.93","27.31","75.91","45.18","13.36","64.59","25","66.87","5.75","11.96"
"MITx","8.05.1x","QPhysics-a2","STEM","2/17/2016","4","0","8,936","1,270","55","14.21","0.62","4.33","72.30","111.02","198.24","13.22","61.23","25","73.06","5.14","14.67"
"MITx","8.05.2x","QPhysics-b2","STEM","3/23/2016","4","0","1,862","547","40","29.38","2.15","7.31","25.48","93.84","167.57","10.64","69.23","25","51.93","5.80","21.80"
"MITx","8.05.3x","QPhysics-c2","STEM","4/27/2016","4","0","1,236","379","35","30.66","2.83","9.23","19.33","103.22","184.32","8.90","71.51","27","52.43","6.15","23.38"